County,State,2010,2011,2012,2013,2014,2015,2016
Douglas,Colorado,"286,977","292,548","298,708","306,234","314,545","322,025","328,219"
Eagle,Colorado,"52,099","52,051","52,334","52,816","53,276","53,865","54,541"
Elbert,Colorado,"23,142","23,178","23,274","23,541","24,031","24,630","25,157"
El Paso,Colorado,"627,031","637,305","646,003","655,209","663,129","674,001","688,277"
Fremont,Colorado,"46,837","47,379","47,052","46,332","46,147","46,282","46,976"
Garfield,Colorado,"56,072","56,048","56,761","56,938","57,161","57,698","58,785"
Gilpin,Colorado,"5,471","5,428","5,431","5,530","5,747","5,805","5,914"
Grand,Colorado,"14,796","14,563","14,221","14,312","14,559","14,726","15,179"
Gunnison,Colorado,"15,291","15,261","15,378","15,575","15,765","16,104","16,414"
Hinsdale,Colorado,844,825,802,804,773,764,788
Huerfano,Colorado,"6,681","6,528","6,565","6,460","6,393","6,404","6,580"
Jackson,Colorado,"1,389","1,357","1,325","1,336","1,385","1,353","1,358"
Jefferson,Colorado,"535,548","540,506","546,602","552,031","558,819","564,888","571,413"
Kiowa,Colorado,"1,404","1,431","1,409","1,392","1,380","1,384","1,342"
Kit Carson,Colorado,"8,263","8,172","8,072","8,245","8,018","8,215","7,626"
Lake,Colorado,"7,264","7,343","7,253","7,263","7,317","7,442","7,590"
La Plata,Colorado,"51,411","51,866","52,451","53,368","53,865","54,687","55,316"
Larimer,Colorado,"300,441","305,246","310,842","316,225","324,008","333,303","338,984"
Las Animas,Colorado,"15,422","15,053","14,992","14,396","14,048","14,043","14,073"
Lincoln,Colorado,"5,471","5,419","5,440","5,435","5,501","5,543","5,551"
Logan,Colorado,"22,750","22,577","22,356","22,174","22,440","22,472","22,435"
Mesa,Colorado,"146,259","147,174","147,317","147,175","147,113","148,025","149,736"
Mineral,Colorado,704,711,719,732,704,744,756
Moffat,Colorado,"13,794","13,423","13,171","13,126","12,934","12,939","13,144"
Montezuma,Colorado,"25,576","25,476","25,476","25,542","25,514","25,716","25,994"
Montrose,Colorado,"41,186","40,974","40,650","40,549","40,585","40,562","41,151"
Morgan,Colorado,"28,241","28,452","28,248","28,223","28,103","28,252","28,199"
Otero,Colorado,"18,859","18,839","18,634","18,452","18,336","18,182","18,266"
Ouray,Colorado,"4,456","4,423","4,507","4,552","4,574","4,608","4,789"
Park,Colorado,"16,279","16,055","16,049","16,184","16,381","16,726","17,343"
Phillips,Colorado,"4,469","4,401","4,417","4,383","4,392","4,327","4,280"
Pitkin,Colorado,"17,154","17,169","17,292","17,460","17,712","17,940","17,975"
Prowers,Colorado,"12,545","12,502","12,421","12,317","12,062","11,936","11,926"
Pueblo,Colorado,"159,390","160,184","160,721","161,033","161,356","163,006","164,774"
Rio Blanco,Colorado,"6,623","6,747","6,758","6,693","6,595","6,478","6,436"
Rio Grande,Colorado,"12,023","11,913","11,866","11,676","11,504","11,352","11,337"
Routt,Colorado,"23,434","23,252","23,272","23,599","24,067","24,360","24,682"
Saguache,Colorado,"6,136","6,188","6,333","6,242","6,198","6,253","6,412"
San Juan,Colorado,708,690,692,692,712,689,691
San Miguel,Colorado,"7,357","7,487","7,581","7,621","7,738","7,836","8,017"
Sedgwick,Colorado,"2,371","2,372","2,378","2,340","2,334","2,373","2,400"
Summit,Colorado,"28,073","28,042","28,298","28,728","29,317","30,045","30,552"
Teller,Colorado,"23,469","23,369","23,445","23,356","23,433","23,388","24,058"
Washington,Colorado,"4,821","4,762","4,701","4,743","4,733","4,786","4,834"
Weld,Colorado,"254,207","258,827","264,131","270,165","277,112","285,819","295,712"
Yuma,Colorado,"10,049","10,134","10,100","10,132","10,184","10,037","10,055"
Fairfield,Connecticut,"919,355","928,000","935,099","939,924","944,196","944,943","944,347"
Hartford,Connecticut,"895,236","896,864","897,706","897,678","897,407","896,290","894,141"
Litchfield,Connecticut,"189,763","188,972","187,570","186,836","185,343","184,122","182,793"
Middlesex,Connecticut,"165,616","166,174","165,634","165,329","164,786","163,724","163,292"
New Haven,Connecticut,"863,357","863,871","864,566","862,820","862,885","860,186","857,901"
New London,Connecticut,"274,004","273,037","274,091","272,976","271,462","269,636","268,403"
Tolland,Connecticut,"153,239","153,050","151,967","151,778","151,693","151,734","151,162"
Windham,Connecticut,"118,544","118,315","117,914","117,500","116,752","116,487","116,102"
Kent,Delaware,"162,956","165,110","167,297","169,038","171,456","173,128","174,542"
New Castle,Delaware,"538,752","541,909","544,848","548,331","550,768","553,488","555,058"
Sussex,Delaware,"197,885","200,362","203,034","206,207","210,263","214,636","219,321"
District of Columbia,District of Columbia,"605,226","619,800","634,924","650,581","662,328","675,400","685,815"
Alachua,Florida,"247,614","249,834","251,520","252,475","255,456","259,052","263,959"
Baker,Florida,"27,066","27,049","27,053","27,009","27,122","27,355","27,884"
Bay,Florida,"169,206","169,555","171,757","174,596","178,289","181,488","183,634"
Bradford,Florida,"28,536","28,431","27,051","26,802","26,552","26,748","26,740"
Brevard,Florida,"543,965","544,359","546,966","550,255","555,548","565,746","576,874"
Broward,Florida,"1,752,803","1,786,980","1,814,253","1,836,600","1,860,933","1,885,040","1,912,583"
Calhoun,Florida,"14,647","14,717","14,665","14,578","14,450","14,406","14,330"
Charlotte,Florida,"159,875","159,869","162,744","164,671","168,041","172,382","177,671"
Citrus,Florida,"141,173","139,764","139,180","138,829","138,828","140,287","142,804"
Clay,Florida,"191,451","192,314","193,861","195,657","198,570","202,392","207,246"
Collier,Florida,"322,581","327,629","332,233","338,987","347,211","356,041","365,445"
Columbia,Florida,"67,553","67,317","67,884","67,417","67,779","68,222","69,265"
DeSoto,Florida,"34,934","34,845","35,005","34,905","35,338","35,648","36,255"
Dixie,Florida,"16,400","16,406","16,153","16,084","16,041","16,353","16,465"
Duval,Florida,"865,628","872,355","880,108","885,943","896,668","910,578","926,010"
Escambia,Florida,"298,038","299,401","303,423","306,694","307,960","309,311","311,473"
Flagler,Florida,"96,066","97,462","98,434","99,798","101,889","104,436","107,406"
Franklin,Florida,"11,522","11,472","11,612","11,521","11,661","11,707","11,823"
Gadsden,Florida,"47,794","47,373","46,574","46,087","46,114","46,060","46,086"
Gilchrist,Florida,"17,000","16,994","16,897","16,957","16,991","17,378","17,622"
Glades,Florida,"12,869","12,837","12,669","12,670","12,943","13,099","13,406"
Gulf,Florida,"15,825","15,764","15,770","15,884","16,002","15,929","16,062"
