Location,total_votes,2000_republican_votes,2000_democrat_votes
"Georgia, Gwinnett",191111,121756.0,61434.0
"Georgia, Habersham",9691,6964.0,2530.0
"Georgia, Hall",38150,26841.0,10259.0
"Georgia, Hancock",3086,662.0,2414.0
"Georgia, Haralson",8167,5153.0,2869.0
"Georgia, Harris",8562,5554.0,2912.0
"Georgia, Hart",7536,4242.0,3192.0
"Georgia, Heard",3198,1947.0,1178.0
"Georgia, Henry",38867,25815.0,11971.0
"Georgia, Houston",36988,23174.0,13301.0
"Georgia, Irwin",2852,1720.0,1105.0
"Georgia, Jackson",11635,7878.0,3420.0
"Georgia, Jasper",3943,2298.0,1558.0
"Georgia, Jeff Davis",4221,2797.0,1379.0
"Georgia, Jefferson",5566,2559.0,2973.0
"Georgia, Jenkins",2593,1317.0,1250.0
"Georgia, Johnson",2883,1797.0,1065.0
"Georgia, Jones",8068,4850.0,3102.0
"Georgia, Lamar",5230,2912.0,2194.0
"Georgia, Lanier",1904,1048.0,832.0
"Georgia, Laurens",14036,8133.0,5724.0
"Georgia, Lee",7884,5872.0,1936.0
"Georgia, Liberty",9972,4455.0,5347.0
"Georgia, Lincoln",3103,1807.0,1275.0
"Georgia, Long",2314,1320.0,975.0
"Georgia, Lowndes",25432,14462.0,10616.0
"Georgia, Lumpkin",6750,4427.0,2121.0
"Georgia, McDuffie",6550,3926.0,2580.0
"Georgia, McIntosh",3837,1766.0,2047.0
"Georgia, Macon",4355,1566.0,2757.0
"Georgia, Madison",7993,5529.0,2285.0
"Georgia, Marion",2184,1187.0,982.0
"Georgia, Meriwether",6709,3162.0,3441.0
"Georgia, Miller",2150,1349.0,783.0
"Georgia, Mitchell",5799,2790.0,2971.0
"Georgia, Monroe",7541,4561.0,2839.0
"Georgia, Montgomery",2509,1465.0,1013.0
"Georgia, Morgan",5902,3524.0,2238.0
"Georgia, Murray",8372,5539.0,2684.0
"Georgia, Muscogee",52163,23479.0,28193.0
"Georgia, Newton",18375,11127.0,6703.0
"Georgia, Oconee",11168,7611.0,3184.0
"Georgia, Oglethorpe",4385,2706.0,1519.0
"Georgia, Paulding",24260,16881.0,6743.0
"Georgia, Peach",7137,3525.0,3540.0
"Georgia, Pickens",8201,5488.0,2489.0
"Georgia, Pierce",4681,3348.0,1300.0
"Georgia, Pike",4885,3358.0,1413.0
"Georgia, Polk",10116,5841.0,4112.0
"Georgia, Pulaski",3346,1922.0,1390.0
"Georgia, Putnam",6299,3596.0,2612.0
"Georgia, Quitman",904,348.0,542.0
"Georgia, Rabun",5341,3451.0,1776.0
"Georgia, Randolph",2569,1174.0,1381.0
"Georgia, Richmond",57538,25485.0,31413.0
"Georgia, Rockdale",24649,15440.0,8295.0
"Georgia, Schley",1176,706.0,460.0
"Georgia, Screven",4719,2461.0,2233.0
"Georgia, Seminole",2877,1537.0,1313.0
"Georgia, Spalding",15391,9271.0,5831.0
"Georgia, Stephens",8376,5370.0,2869.0
"Georgia, Stewart",1954,675.0,1267.0
"Georgia, Sumter",9697,4847.0,4748.0
"Georgia, Talbot",2531,844.0,1662.0
"Georgia, Taliaferro",832,271.0,556.0
"Georgia, Tattnall",5610,3597.0,1963.0
"Georgia, Taylor",2780,1412.0,1340.0
"Georgia, Telfair",3493,1693.0,1777.0
"Georgia, Terrell",3113,1504.0,1584.0
"Georgia, Thomas",12058,7093.0,4862.0
"Georgia, Tift",10328,6678.0,3547.0
"Georgia, Toombs",7210,4487.0,2643.0
"Georgia, Towns",4497,2902.0,1495.0
"Georgia, Treutlen",1963,1062.0,879.0
"Georgia, Troup",17804,11198.0,6379.0
"Georgia, Turner",2456,1258.0,1169.0
"Georgia, Twiggs",3615,1570.0,1977.0
"Georgia, Union",6956,4567.0,2230.0
"Georgia, Upson",8282,5019.0,3158.0
"Georgia, Walker",18895,12326.0,6341.0
"Georgia, Walton",19083,12966.0,5484.0
"Georgia, Ware",9628,6099.0,3480.0
"Georgia, Warren",2145,933.0,1196.0
"Georgia, Washington",6691,3162.0,3476.0
"Georgia, Wayne",8004,5219.0,2736.0
"Georgia, Webster",909,359.0,541.0
"Georgia, Wheeler",1575,813.0,752.0
"Georgia, White",7043,4857.0,2014.0
"Georgia, Whitfield",23302,15852.0,7034.0
"Georgia, Wilcox",2365,1381.0,962.0
"Georgia, Wilkes",4026,2044.0,1940.0
"Georgia, Wilkinson",3740,1800.0,1884.0
"Georgia, Worth",6061,3792.0,2214.0
"Hawaii, Hawaii",50860,17050.0,28670.0
"Hawaii, Honolulu",255990,101310.0,139618.0
"Hawaii, Kauai",21773,6583.0,13470.0
"Hawaii, Maui",39248,12876.0,23484.0
"Idaho, Ada",123485,75050.0,40650.0
"Idaho, Adams",1909,1476.0,336.0
"Idaho, Bannock",30852,18223.0,10892.0
"Idaho, Bear Lake",2899,2296.0,517.0
"Idaho, Benewah",3687,2606.0,895.0
"Idaho, Bingham",14465,10628.0,3310.0
"Idaho, Blaine",7938,3528.0,3748.0
"Idaho, Boise",3055,2019.0,745.0
"Idaho, Bonner",14537,8945.0,4318.0
"Idaho, Bonneville",33556,24988.0,7235.0
"Idaho, Boundary",3884,2797.0,832.0
"Idaho, Butte",1460,1054.0,354.0
"Idaho, Camas",507,359.0,113.0
"Idaho, Canyon",43000,30560.0,10588.0
"Idaho, Caribou",3177,2601.0,475.0
"Idaho, Cassia",7279,5983.0,1087.0
"Idaho, Clark",382,311.0,63.0
"Idaho, Clearwater",3896,2885.0,841.0
"Idaho, Custer",2330,1794.0,416.0
"Idaho, Elmore",6966,4891.0,1840.0
"Idaho, Franklin",4243,3594.0,513.0
"Idaho, Fremont",5088,4242.0,699.0
"Idaho, Gem",5983,4376.0,1346.0
"Idaho, Gooding",5026,3502.0,1282.0
"Idaho, Idaho",7452,5806.0,1187.0
"Idaho, Jefferson",7836,6480.0,1100.0
"Idaho, Jerome",6007,4418.0,1360.0
"Idaho, Kootenai",43812,28162.0,13488.0
"Idaho, Latah",15311,8161.0,5661.0
"Idaho, Lemhi",3641,2859.0,660.0
"Idaho, Lewis",1688,1295.0,335.0
"Idaho, Lincoln",1574,1049.0,437.0
"Idaho, Madison",8970,7941.0,816.0
"Idaho, Minidoka",6518,4907.0,1344.0
"Idaho, Nez Perce",16021,10577.0,4995.0
"Idaho, Oneida",1798,1426.0,307.0
"Idaho, Owyhee",3188,2450.0,623.0
"Idaho, Payette",6858,4961.0,1643.0
"Idaho, Power",2709,1872.0,755.0
"Idaho, Shoshone",5385,2879.0,2225.0
"Idaho, Teton",2671,1745.0,720.0
"Idaho, Twin Falls",22530,15794.0,5777.0
"Idaho, Valley",3978,2548.0,1129.0
"Idaho, Washington",4070,2899.0,980.0
"Illinois, Adams",30109,17331.0,12197.0
"Illinois, Alexander",4022,1588.0,2357.0
"Illinois, Bond",7032,3804.0,3060.0
"Illinois, Boone",15523,8617.0,6481.0
"Illinois, Brown",2660,1529.0,1077.0
"Illinois, Bureau",16823,8526.0,7754.0
"Illinois, Calhoun",2602,1229.0,1310.0
"Illinois, Carroll",7177,3835.0,3113.0
"Illinois, Cass",5899,2968.0,2789.0
"Illinois, Champaign",74285,34645.0,35515.0
"Illinois, Christian",14771,7537.0,6799.0
"Illinois, Clark",7512,4398.0,2932.0
"Illinois, Clay",6135,3789.0,2212.0
"Illinois, Clinton",15427,8588.0,6436.0
"Illinois, Coles",20093,10495.0,8904.0
"Illinois, Cook",1865907,534542.0,1280547.0
"Illinois, Crawford",8500,4974.0,3333.0
"Illinois, Cumberland",4975,2964.0,1870.0
"Illinois, DeKalb",33233,17139.0,14798.0
"Illinois, De Witt",7051,3968.0,2870.0
"Illinois, Douglas",8152,4734.0,3215.0
"Illinois, DuPage",364362,201037.0,152550.0
