year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Arkansas,AR,Clay,George W. Bush,republican,2759.0,6096,"Arkansas, Clay"
2004,Arkansas,AR,Cleburne,John Kerry,democrat,4702.0,11835,"Arkansas, Cleburne"
2004,Arkansas,AR,Cleburne,George W. Bush,republican,7001.0,11835,"Arkansas, Cleburne"
2004,Arkansas,AR,Cleveland,John Kerry,democrat,1450.0,3496,"Arkansas, Cleveland"
2004,Arkansas,AR,Cleveland,George W. Bush,republican,2009.0,3496,"Arkansas, Cleveland"
2004,Arkansas,AR,Columbia,John Kerry,democrat,4108.0,9909,"Arkansas, Columbia"
2004,Arkansas,AR,Columbia,George W. Bush,republican,5729.0,9909,"Arkansas, Columbia"
2004,Arkansas,AR,Conway,John Kerry,democrat,4259.0,8649,"Arkansas, Conway"
2004,Arkansas,AR,Conway,George W. Bush,republican,4293.0,8649,"Arkansas, Conway"
2004,Arkansas,AR,Craighead,John Kerry,democrat,13665.0,29801,"Arkansas, Craighead"
2004,Arkansas,AR,Craighead,George W. Bush,republican,15818.0,29801,"Arkansas, Craighead"
2004,Arkansas,AR,Crawford,John Kerry,democrat,6764.0,20401,"Arkansas, Crawford"
2004,Arkansas,AR,Crawford,George W. Bush,republican,13391.0,20401,"Arkansas, Crawford"
2004,Arkansas,AR,Crittenden,John Kerry,democrat,8277.0,15300,"Arkansas, Crittenden"
2004,Arkansas,AR,Crittenden,George W. Bush,republican,6930.0,15300,"Arkansas, Crittenden"
2004,Arkansas,AR,Cross,John Kerry,democrat,3135.0,7074,"Arkansas, Cross"
2004,Arkansas,AR,Cross,George W. Bush,republican,3864.0,7074,"Arkansas, Cross"
2004,Arkansas,AR,Dallas,John Kerry,democrat,1667.0,3383,"Arkansas, Dallas"
2004,Arkansas,AR,Dallas,George W. Bush,republican,1699.0,3383,"Arkansas, Dallas"
2004,Arkansas,AR,Desha,John Kerry,democrat,2851.0,4647,"Arkansas, Desha"
2004,Arkansas,AR,Desha,George W. Bush,republican,1729.0,4647,"Arkansas, Desha"
2004,Arkansas,AR,Drew,John Kerry,democrat,2952.0,6249,"Arkansas, Drew"
2004,Arkansas,AR,Drew,George W. Bush,republican,3262.0,6249,"Arkansas, Drew"
2004,Arkansas,AR,Faulkner,John Kerry,democrat,14538.0,36686,"Arkansas, Faulkner"
2004,Arkansas,AR,Faulkner,George W. Bush,republican,21514.0,36686,"Arkansas, Faulkner"
2004,Arkansas,AR,Franklin,John Kerry,democrat,3008.0,7289,"Arkansas, Franklin"
2004,Arkansas,AR,Franklin,George W. Bush,republican,4181.0,7289,"Arkansas, Franklin"
2004,Arkansas,AR,Fulton,John Kerry,democrat,2370.0,4955,"Arkansas, Fulton"
2004,Arkansas,AR,Fulton,George W. Bush,republican,2522.0,4955,"Arkansas, Fulton"
2004,Arkansas,AR,Garland,John Kerry,democrat,18040.0,40154,"Arkansas, Garland"
2004,Arkansas,AR,Garland,George W. Bush,republican,21734.0,40154,"Arkansas, Garland"
2004,Arkansas,AR,Grant,John Kerry,democrat,2524.0,6770,"Arkansas, Grant"
2004,Arkansas,AR,Grant,George W. Bush,republican,4205.0,6770,"Arkansas, Grant"
2004,Arkansas,AR,Greene,John Kerry,democrat,6561.0,13947,"Arkansas, Greene"
2004,Arkansas,AR,Greene,George W. Bush,republican,7232.0,13947,"Arkansas, Greene"
2004,Arkansas,AR,Hempstead,John Kerry,democrat,3817.0,7452,"Arkansas, Hempstead"
2004,Arkansas,AR,Hempstead,George W. Bush,republican,3580.0,7452,"Arkansas, Hempstead"
2004,Arkansas,AR,Hot Spring,John Kerry,democrat,5903.0,12068,"Arkansas, Hot Spring"
2004,Arkansas,AR,Hot Spring,George W. Bush,republican,5962.0,12068,"Arkansas, Hot Spring"
2004,Arkansas,AR,Howard,John Kerry,democrat,2166.0,4943,"Arkansas, Howard"
2004,Arkansas,AR,Howard,George W. Bush,republican,2736.0,4943,"Arkansas, Howard"
2004,Arkansas,AR,Independence,John Kerry,democrat,5443.0,13011,"Arkansas, Independence"
2004,Arkansas,AR,Independence,George W. Bush,republican,7430.0,13011,"Arkansas, Independence"
2004,Arkansas,AR,Izard,John Kerry,democrat,2586.0,5493,"Arkansas, Izard"
2004,Arkansas,AR,Izard,George W. Bush,republican,2833.0,5493,"Arkansas, Izard"
2004,Arkansas,AR,Jackson,John Kerry,democrat,3515.0,6219,"Arkansas, Jackson"
2004,Arkansas,AR,Jackson,George W. Bush,republican,2624.0,6219,"Arkansas, Jackson"
2004,Arkansas,AR,Jefferson,John Kerry,democrat,19675.0,30493,"Arkansas, Jefferson"
2004,Arkansas,AR,Jefferson,George W. Bush,republican,10218.0,30493,"Arkansas, Jefferson"
2004,Arkansas,AR,Johnson,John Kerry,democrat,3622.0,8044,"Arkansas, Johnson"
2004,Arkansas,AR,Johnson,George W. Bush,republican,4311.0,8044,"Arkansas, Johnson"
2004,Arkansas,AR,Lafayette,John Kerry,democrat,1567.0,3191,"Arkansas, Lafayette"
2004,Arkansas,AR,Lafayette,George W. Bush,republican,1604.0,3191,"Arkansas, Lafayette"
2004,Arkansas,AR,Lawrence,John Kerry,democrat,3544.0,6615,"Arkansas, Lawrence"
2004,Arkansas,AR,Lawrence,George W. Bush,republican,2951.0,6615,"Arkansas, Lawrence"
2004,Arkansas,AR,Lee,John Kerry,democrat,2548.0,4080,"Arkansas, Lee"
2004,Arkansas,AR,Lee,George W. Bush,republican,1492.0,4080,"Arkansas, Lee"
2004,Arkansas,AR,Lincoln,John Kerry,democrat,2149.0,4109,"Arkansas, Lincoln"
2004,Arkansas,AR,Lincoln,George W. Bush,republican,1921.0,4109,"Arkansas, Lincoln"
2004,Arkansas,AR,Little River,John Kerry,democrat,2677.0,5294,"Arkansas, Little River"
2004,Arkansas,AR,Little River,George W. Bush,republican,2575.0,5294,"Arkansas, Little River"
2004,Arkansas,AR,Logan,John Kerry,democrat,3361.0,8551,"Arkansas, Logan"
2004,Arkansas,AR,Logan,George W. Bush,republican,5076.0,8551,"Arkansas, Logan"
2004,Arkansas,AR,Lonoke,John Kerry,democrat,7454.0,22030,"Arkansas, Lonoke"
2004,Arkansas,AR,Lonoke,George W. Bush,republican,14398.0,22030,"Arkansas, Lonoke"
2004,Arkansas,AR,Madison,John Kerry,democrat,2421.0,6384,"Arkansas, Madison"
2004,Arkansas,AR,Madison,George W. Bush,republican,3873.0,6384,"Arkansas, Madison"
2004,Arkansas,AR,Marion,John Kerry,democrat,2602.0,6867,"Arkansas, Marion"
2004,Arkansas,AR,Marion,George W. Bush,republican,4127.0,6867,"Arkansas, Marion"
2004,Arkansas,AR,Miller,John Kerry,democrat,6139.0,14678,"Arkansas, Miller"
2004,Arkansas,AR,Miller,George W. Bush,republican,8448.0,14678,"Arkansas, Miller"
2004,Arkansas,AR,Mississippi,John Kerry,democrat,7593.0,14153,"Arkansas, Mississippi"
2004,Arkansas,AR,Mississippi,George W. Bush,republican,6121.0,14153,"Arkansas, Mississippi"
2004,Arkansas,AR,Monroe,John Kerry,democrat,2049.0,3667,"Arkansas, Monroe"
2004,Arkansas,AR,Monroe,George W. Bush,republican,1586.0,3667,"Arkansas, Monroe"
2004,Arkansas,AR,Montgomery,John Kerry,democrat,1524.0,3958,"Arkansas, Montgomery"
2004,Arkansas,AR,Montgomery,George W. Bush,republican,2367.0,3958,"Arkansas, Montgomery"
2004,Arkansas,AR,Nevada,John Kerry,democrat,1694.0,3477,"Arkansas, Nevada"
2004,Arkansas,AR,Nevada,George W. Bush,republican,1752.0,3477,"Arkansas, Nevada"
2004,Arkansas,AR,Newton,John Kerry,democrat,1506.0,4378,"Arkansas, Newton"
2004,Arkansas,AR,Newton,George W. Bush,republican,2779.0,4378,"Arkansas, Newton"
2004,Arkansas,AR,Ouachita,John Kerry,democrat,5188.0,10650,"Arkansas, Ouachita"
2004,Arkansas,AR,Ouachita,George W. Bush,republican,5345.0,10650,"Arkansas, Ouachita"
2004,Arkansas,AR,Perry,John Kerry,democrat,1921.0,4431,"Arkansas, Perry"
2004,Arkansas,AR,Perry,George W. Bush,republican,2435.0,4431,"Arkansas, Perry"
2004,Arkansas,AR,Phillips,John Kerry,democrat,5642.0,8868,"Arkansas, Phillips"
2004,Arkansas,AR,Phillips,George W. Bush,republican,3161.0,8868,"Arkansas, Phillips"
2004,Arkansas,AR,Pike,John Kerry,democrat,1310.0,3367,"Arkansas, Pike"
2004,Arkansas,AR,Pike,George W. Bush,republican,2013.0,3367,"Arkansas, Pike"
2004,Arkansas,AR,Poinsett,John Kerry,democrat,4069.0,7723,"Arkansas, Poinsett"
2004,Arkansas,AR,Poinsett,George W. Bush,republican,3555.0,7723,"Arkansas, Poinsett"
2004,Arkansas,AR,Polk,John Kerry,democrat,2473.0,7799,"Arkansas, Polk"
2004,Arkansas,AR,Polk,George W. Bush,republican,5192.0,7799,"Arkansas, Polk"
2004,Arkansas,AR,Pope,John Kerry,democrat,7100.0,20902,"Arkansas, Pope"
2004,Arkansas,AR,Pope,George W. Bush,republican,13614.0,20902,"Arkansas, Pope"
2004,Arkansas,AR,Prairie,John Kerry,democrat,1562.0,3624,"Arkansas, Prairie"
2004,Arkansas,AR,Prairie,George W. Bush,republican,2030.0,3624,"Arkansas, Prairie"
2004,Arkansas,AR,Pulaski,John Kerry,democrat,82755.0,151758,"Arkansas, Pulaski"
2004,Arkansas,AR,Pulaski,George W. Bush,republican,67617.0,151758,"Arkansas, Pulaski"
2004,Arkansas,AR,Randolph,John Kerry,democrat,3412.0,6667,"Arkansas, Randolph"
2004,Arkansas,AR,Randolph,George W. Bush,republican,3158.0,6667,"Arkansas, Randolph"
2004,Arkansas,AR,Saline,John Kerry,democrat,14153.0,39376,"Arkansas, Saline"
2004,Arkansas,AR,Saline,George W. Bush,republican,24864.0,39376,"Arkansas, Saline"
2004,Arkansas,AR,Scott,John Kerry,democrat,1473.0,4038,"Arkansas, Scott"
2004,Arkansas,AR,Scott,George W. Bush,republican,2514.0,4038,"Arkansas, Scott"
2004,Arkansas,AR,Searcy,John Kerry,democrat,1370.0,3992,"Arkansas, Searcy"
2004,Arkansas,AR,Searcy,George W. Bush,republican,2565.0,3992,"Arkansas, Searcy"
2004,Arkansas,AR,Sebastian,John Kerry,democrat,16479.0,44211,"Arkansas, Sebastian"
2004,Arkansas,AR,Sebastian,George W. Bush,republican,27303.0,44211,"Arkansas, Sebastian"
