State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
California,Los Angeles,9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400
California,Madera,123587,125581,128369,132738,137106,140313,143622,146067,148359,149234
California,Marin,247520,247866,246225,245054,243769,244206,244580,246248,248398,250862
California,Mariposa,17101,17099,17243,17707,17844,17972,18219,18366,18412,18212
California,Mendocino,86407,86841,87364,88140,88030,87981,87345,87071,87468,87722
California,Merced,212258,218816,225351,231735,237180,242554,245338,248540,250538,252302
California,Modoc,9406,9350,9362,9501,9605,9565,9617,9525,9551,9646
California,Mono,12921,13224,13404,13352,13360,13474,13743,13678,13862,14008
California,Monterey,402990,407082,408977,409725,408731,405139,401831,402376,406022,410263
California,Napa,124565,126818,128744,130138,130387,130381,131440,132583,134093,135280
California,Nevada,92520,93715,94647,95606,96512,97250,97549,97794,98200,98591
California,Orange,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177
California,Placer,251012,263615,276907,290726,302841,312762,321934,329023,337568,343810
California,Plumas,20754,20820,20866,20957,21000,21010,20762,20667,20410,20169
California,Riverside,1558985,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725
California,Sacramento,1229940,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601
California,San Benito,53781,54644,55056,55198,54849,54647,54124,54072,54267,54436
California,San Bernardino,1718037,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960
California,San Diego,2827366,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203
California,San Francisco,777885,780865,772723,766160,761325,763016,768650,778673,791152,801922
California,San Joaquin,567885,591207,609041,626778,642898,656985,662812,668080,671692,677736
California,San Luis Obispo,247839,251462,253083,254674,256842,258615,260498,262770,266358,268145
California,San Mateo,707820,705621,697628,693057,690161,690078,690176,693849,703830,713617
California,Santa Barbara,399990,403164,405178,406810,407284,408079,408085,411243,415859,420356
California,Santa Clara,1684947,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137
California,Santa Cruz,255835,256045,254531,253021,252356,251377,251616,253304,256520,260009
California,Shasta,163615,166408,170198,173202,174867,175615,176166,176548,177247,177279
California,Sierra,3574,3518,3482,3511,3430,3378,3424,3373,3320,3248
California,Siskiyou,44218,43908,43965,44287,44394,44641,44487,44465,44780,44788
California,Solano,396974,404209,408226,408409,409301,408181,408402,408243,408972,410290
California,Sonoma,460421,465293,465298,466489,466809,465938,465188,467356,473091,479479
California,Stanislaus,449471,463761,477469,487357,492613,500020,504651,507834,509032,511536
California,Sutter,79192,80138,82162,84671,86484,88764,91112,92959,93855,94366
California,Tehama,56170,56685,57380,58528,59571,60602,61587,62147,62648,62891
California,Trinity,12980,12859,13064,13210,13159,13440,13634,13648,13656,13762
California,Tulare,368627,373171,379568,388743,398226,407970,414921,422140,429283,436987
California,Tuolumne,54658,55253,55850,56513,56602,56788,56680,56339,56320,55845
California,Ventura,756506,766689,779489,788070,793994,794197,798183,800027,806353,815130
California,Yolo,169835,175337,180327,182954,185237,186269,189615,194339,197154,199791
California,Yuba,60372,61249,62100,62733,63742,66285,69272,70761,71773,71607
Colorado,Adams,350888,359816,370753,377464,384809,395146,406575,415746,424913,435700
Colorado,Alamosa,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289
