Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes,State_Code
"Georgia, Glascock",1390,1235.0,138.0,GA
"Georgia, Glynn",34263,21512.0,11775.0,GA
"Georgia, Gordon",18959,15191.0,3181.0,GA
"Georgia, Grady",9213,6053.0,3013.0,GA
"Georgia, Greene",8852,5490.0,3199.0,GA
"Georgia, Gwinnett",328331,146989.0,166153.0,GA
"Georgia, Habersham",16243,13190.0,2483.0,GA
"Georgia, Hall",70694,51733.0,16180.0,GA
"Georgia, Hancock",3580,843.0,2701.0,GA
"Georgia, Haralson",11357,9585.0,1475.0,GA
"Georgia, Harris",16502,11936.0,4086.0,GA
"Georgia, Hart",10117,7286.0,2585.0,GA
"Georgia, Heard",4223,3370.0,743.0,GA
"Georgia, Henry",98766,45724.0,50057.0,GA
"Georgia, Houston",60079,35430.0,22553.0,GA
"Georgia, Irwin",3670,2716.0,891.0,GA
"Georgia, Jackson",27190,21784.0,4491.0,GA
"Georgia, Jasper",6045,4360.0,1544.0,GA
"Georgia, Jeff Davis",5096,4104.0,901.0,GA
"Georgia, Jefferson",6968,3063.0,3821.0,GA
"Georgia, Jenkins",3056,1895.0,1123.0,GA
"Georgia, Johnson",3686,2519.0,1136.0,GA
"Georgia, Jones",12551,8305.0,3961.0,GA
"Georgia, Lamar",7612,5190.0,2270.0,GA
"Georgia, Lanier",2871,1984.0,806.0,GA
"Georgia, Laurens",19530,12411.0,6752.0,GA
"Georgia, Lee",14143,10646.0,3170.0,GA
"Georgia, Liberty",16143,6134.0,9556.0,GA
"Georgia, Lincoln",4102,2759.0,1273.0,GA
"Georgia, Long",4117,2626.0,1360.0,GA
"Georgia, Lowndes",37805,21635.0,15064.0,GA
"Georgia, Lumpkin",12425,9619.0,2220.0,GA
"Georgia, Macon",4287,1540.0,2705.0,GA
"Georgia, Madison",11998,9201.0,2425.0,GA
"Georgia, Marion",3190,1921.0,1213.0,GA
"Georgia, McDuffie",9268,5432.0,3699.0,GA
"Georgia, McIntosh",5903,3487.0,2303.0,GA
"Georgia, Meriwether",9217,5222.0,3804.0,GA
"Georgia, Miller",2544,1891.0,623.0,GA
"Georgia, Mitchell",7880,4279.0,3493.0,GA
"Georgia, Monroe",12687,8832.0,3571.0,GA
"Georgia, Montgomery",3576,2670.0,847.0,GA
"Georgia, Morgan",9475,6559.0,2663.0,GA
"Georgia, Murray",12458,10341.0,1800.0,GA
"Georgia, Muscogee",69032,26976.0,39851.0,GA
"Georgia, Newton",43987,20913.0,21943.0,GA
"Georgia, Oconee",20149,13425.0,5581.0,GA
"Georgia, Oglethorpe",6674,4625.0,1831.0,GA
"Georgia, Paulding",64890,44662.0,18025.0,GA
"Georgia, Peach",10752,5413.0,5100.0,GA
"Georgia, Pickens",14038,11651.0,1979.0,GA
"Georgia, Pierce",7311,6302.0,903.0,GA
"Georgia, Pike",8725,7278.0,1240.0,GA
"Georgia, Polk",14215,11014.0,2867.0,GA
"Georgia, Pulaski",3605,2437.0,1104.0,GA
"Georgia, Putnam",9488,6544.0,2758.0,GA
"Georgia, Quitman",1044,575.0,461.0,GA
"Georgia, Rabun",7992,6287.0,1444.0,GA
"Georgia, Randolph",2899,1271.0,1598.0,GA
"Georgia, Richmond",75515,24461.0,48814.0,GA
"Georgia, Rockdale",37869,13478.0,23255.0,GA
"Georgia, Schley",1909,1472.0,401.0,GA
"Georgia, Screven",5715,3305.0,2300.0,GA
"Georgia, Seminole",3588,2345.0,1189.0,GA
"Georgia, Spalding",25704,15646.0,9357.0,GA
"Georgia, Stephens",9815,7686.0,1837.0,GA
"Georgia, Stewart",2058,805.0,1222.0,GA
"Georgia, Sumter",10974,5276.0,5520.0,GA
"Georgia, Talbot",3246,1196.0,2002.0,GA
"Georgia, Taliaferro",897,349.0,545.0,GA
"Georgia, Tattnall",6903,5096.0,1681.0,GA
"Georgia, Taylor",3408,2064.0,1296.0,GA
"Georgia, Telfair",3796,2450.0,1313.0,GA
"Georgia, Terrell",4189,1874.0,2267.0,GA
"Georgia, Thomas",18802,11228.0,7142.0,GA
"Georgia, Tift",14219,9584.0,4347.0,GA
"Georgia, Toombs",9138,6615.0,2338.0,GA
"Georgia, Towns",6764,5383.0,1210.0,GA
"Georgia, Treutlen",2703,1809.0,862.0,GA
"Georgia, Troup",26111,15750.0,9713.0,GA
"Georgia, Turner",3398,2095.0,1246.0,GA
"Georgia, Twiggs",4059,2035.0,1971.0,GA
"Georgia, Union",12063,9852.0,1963.0,GA
"Georgia, Upson",10934,7292.0,3475.0,GA
"Georgia, Walker",23956,18950.0,4215.0,GA
"Georgia, Walton",40698,31125.0,8292.0,GA
"Georgia, Ware",12184,8513.0,3440.0,GA
"Georgia, Warren",2334,991.0,1314.0,GA
"Georgia, Washington",8461,4149.0,4200.0,GA
"Georgia, Wayne",10413,8153.0,2041.0,GA
"Georgia, Webster",1116,630.0,473.0,GA
"Georgia, Wheeler",2102,1421.0,646.0,GA
"Georgia, White",11823,9761.0,1674.0,GA
"Georgia, Whitfield",30658,21537.0,7937.0,GA
"Georgia, Wilcox",2976,2096.0,852.0,GA
"Georgia, Wilkes",4486,2572.0,1848.0,GA
"Georgia, Wilkinson",4287,2333.0,1894.0,GA
"Georgia, Worth",8295,6152.0,2020.0,GA
"Hawaii, Hawaii",64867,17501.0,41259.0,HI
"Hawaii, Honolulu",285790,90326.0,175696.0,HI
